,TA_F,SW_IN_POT,SW_IN_F,LW_IN_F,VPD_F,P_F,WS_F,LE_F_MDS,H_F_MDS
194,9.329,475.789,160.182,332.452,1.283,1.182,4.585,99.6467,96.264
195,9.897,474.684,106.011,347.361,1.072,2.048,3.447,97.24,95.2006
196,10.514,473.536,126.387,345.309,1.554,0.938,2.455,106.216,106.69
197,12.908,472.343,136.012,356.193,1.831,1.774857142857143,1.259,81.8181,87.9407
198,15.505,471.108,308.664,309.907,4.341,2.6117142857142857,1.8,104.801,104.727
199,15.707,469.832,310.725,297.837,6.044,3.4485714285714284,1.982,102.34,113.229
200,15.292,468.511,276.042,321.072,3.512,4.285428571428572,2.026,97.1506,83.6844
201,13.5,467.15,312.186,289.16,2.828,5.122285714285714,2.197,89.2337,111.676
202,13.789,465.745,217.866,334.524,2.849,5.959142857142857,1.866,72.8879,61.0724
203,14.663,464.3,247.492,331.007,2.69,6.795999999999999,1.873,85.2235,96.4111
204,14.064,462.814,246.677,313.652,4.715,7.632857142857143,2.031,82.0181,79.8387
205,14.708,461.288,319.408,285.7,5.574,8.469714285714286,1.828,91.3333,132.764
206,12.821,459.721,301.76,303.625,2.23,9.306571428571429,2.219,75.3122,108.259
207,9.868,458.114,115.029,351.458,0.732,10.143428571428572,2.313,39.1485,42.8438
208,11.77,456.468,182.908,335.584,1.953,10.980285714285715,1.625,56.8707,63.7172
209,13.799,454.784,202.411,328.834,2.721,11.817142857142859,1.831,60.6726,61.1704
210,11.778,453.06,59.753,369.84,0.413,12.654,2.08,19.9811,7.43041
211,13.053,451.298,130.846,350.726,0.899,0.358,3.566,55.1423,29.2915
212,15.396,449.498,122.307,354.244,1.772,2.248,3.769,49.5448,6.695
213,17.003,447.661,85.328,373.241,1.614,2.3135000000000003,2.881,33.2113,2.25075
214,16.885,445.787,29.83,396.082,0.337,2.379,2.686,14.8069,0.26775
215,17.314,443.877,142.646,384.55,0.879,0.201,5.309,59.851,20.8166
216,18.968,441.931,221.227,348.64,4.517,0.063,2.317,94.8734,45.6949
217,18.447,439.949,264.036,340.0,5.489,0.092,1.624,109.94,47.6579
218,19.645,437.932,184.292,371.173,4.229,2.118,2.443,76.3941,23.4318
219,17.708,435.88,51.255,399.038,0.427,16.191,5.61,99.3176,-20.5899
220,16.792,433.794,65.543,385.821,0.462,15.01,2.571,38.2458,6.7129
221,15.096,431.674,101.805,376.339,0.513,4.858,4.582,63.1789,9.99953
222,16.574,429.52,67.855,375.098,1.026,1.404,4.939,43.6698,-12.3013
223,16.146,427.335,117.82,359.89,1.36,1.707,1.509,58.021,18.9753
224,14.499,425.117,132.25,344.064,1.216,1.2493333333333334,1.792,53.1797,20.3272
